epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.2499,1.0396,0.77694,1,1.00369,0.000236727,0.000236727,0.000236727
2,28.496,0.64225,0.806,1,0.96245,0.000472377,0.000472377,0.000472377
3,41.6881,0.62825,0.83318,1,0.92789,0.000705671,0.000705671,0.000705671
4,55.0803,0.64971,0.80412,1,0.96077,0.000703397,0.000703397,0.000703397
5,67.6359,0.60764,0.83411,1,0.94587,0.000699863,0.000699863,0.000699863
6,79.8652,0.58545,0.76382,1,1.00498,0.000696328,0.000696328,0.000696328
7,92.8079,0.56714,0.84817,1,0.92465,0.000692794,0.000692794,0.000692794
8,105.862,0.57008,0.87441,1,0.90695,0.00068926,0.00068926,0.00068926
9,118.891,0.54506,0.85848,1,0.9159,0.000685726,0.000685726,0.000685726
10,131.815,0.51727,0.86036,1,0.93348,0.000682191,0.000682191,0.000682191
11,144.529,0.45949,0.87254,1,0.90262,0.000678657,0.000678657,0.000678657
12,156.773,0.45114,0.88379,1,0.87944,0.000675123,0.000675123,0.000675123
13,169.972,0.42551,0.8641,1,0.91322,0.000671588,0.000671588,0.000671588
14,183.013,0.43892,0.87348,1,0.89773,0.000668054,0.000668054,0.000668054
15,196.279,0.4352,0.87535,1,0.88866,0.00066452,0.00066452,0.00066452
16,208.755,0.40639,0.8463,1,0.93206,0.000660986,0.000660986,0.000660986
17,221.305,0.38433,0.87254,1,0.88686,0.000657451,0.000657451,0.000657451
18,233.741,0.37427,0.85848,1,0.89488,0.000653917,0.000653917,0.000653917
19,246.945,0.37847,0.8791,1,0.88658,0.000650383,0.000650383,0.000650383
20,258.911,0.35651,0.88472,1,0.88034,0.000646848,0.000646848,0.000646848
21,271.503,0.34875,0.8866,1,0.87461,0.000643314,0.000643314,0.000643314
22,284.599,0.32935,0.8791,1,0.88208,0.00063978,0.00063978,0.00063978
23,297.716,0.3401,0.89316,1,0.88494,0.000636245,0.000636245,0.000636245
24,310.6,0.34,0.89128,1,0.87105,0.000632711,0.000632711,0.000632711
25,323.609,0.34363,0.87816,1,0.87987,0.000629177,0.000629177,0.000629177
26,336.458,0.33111,0.89035,1,0.86516,0.000625642,0.000625642,0.000625642
27,348.995,0.3076,0.8791,1,0.88689,0.000622108,0.000622108,0.000622108
28,362.832,0.30765,0.89691,1,0.87206,0.000618574,0.000618574,0.000618574
29,375.929,0.33464,0.89128,1,0.87586,0.00061504,0.00061504,0.00061504
