epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,1053.37,0.1215,0.91003,1,0.83957,0.000445393,0.000445393,0.000445393
78,1066.92,0.11174,0.90534,1,0.83959,0.000441859,0.000441859,0.000441859
79,1080.7,0.1615,0.90534,1,0.85406,0.000438325,0.000438325,0.000438325
80,1094.35,0.13975,0.89878,1,0.85133,0.00043479,0.00043479,0.00043479
81,1107.11,0.142,0.89503,1,0.85995,0.000431256,0.000431256,0.000431256
82,1120.62,0.13164,0.89222,1,0.8541,0.000427722,0.000427722,0.000427722
83,1134.02,0.13101,0.90628,1,0.84174,0.000424187,0.000424187,0.000424187
84,1147.59,0.10444,0.9044,1,0.84147,0.000420653,0.000420653,0.000420653
85,1160.83,0.12916,0.90066,1,0.84491,0.000417119,0.000417119,0.000417119
86,1174.43,0.11786,0.89503,1,0.85152,0.000413584,0.000413584,0.000413584
87,1188.01,0.11288,0.90253,1,0.84405,0.00041005,0.00041005,0.00041005
88,1201.98,0.12527,0.90347,1,0.84467,0.000406516,0.000406516,0.000406516
89,1215.76,0.13114,0.9044,1,0.8447,0.000402982,0.000402982,0.000402982
90,1229.95,0.11574,0.90253,1,0.84613,0.000399447,0.000399447,0.000399447
91,1243.84,0.13663,0.90722,1,0.84812,0.000395913,0.000395913,0.000395913
92,1258.04,0.11947,0.91097,1,0.8481,0.000392379,0.000392379,0.000392379
93,1272.15,0.1136,0.90347,1,0.84609,0.000388844,0.000388844,0.000388844
94,1285.93,0.09835,0.90253,1,0.84173,0.00038531,0.00038531,0.00038531
95,1299.98,0.09776,0.90909,1,0.83854,0.000381776,0.000381776,0.000381776
96,1313.6,0.13357,0.89878,1,0.85555,0.000378242,0.000378242,0.000378242
97,1327.86,0.1195,0.91003,1,0.84048,0.000374707,0.000374707,0.000374707
98,1341.96,0.10294,0.9119,1,0.84187,0.000371173,0.000371173,0.000371173
99,1355.48,0.09738,0.90347,1,0.84243,0.000367639,0.000367639,0.000367639
100,1369.42,0.11414,0.91003,1,0.84779,0.000364104,0.000364104,0.000364104
101,1383.1,0.10489,0.91003,1,0.83969,0.00036057,0.00036057,0.00036057
102,1396.96,0.10392,0.90347,1,0.84507,0.000357036,0.000357036,0.000357036
103,1410.72,0.09355,0.89878,1,0.84412,0.000353501,0.000353501,0.000353501
104,1423.98,0.10354,0.9044,1,0.84358,0.000349967,0.000349967,0.000349967
105,1438,0.10409,0.89784,1,0.8481,0.000346433,0.000346433,0.000346433
106,1451.32,0.08596,0.89691,1,0.84723,0.000342899,0.000342899,0.000342899
107,1465.22,0.10889,0.91284,1,0.83903,0.000339364,0.000339364,0.000339364
108,1478.88,0.09346,0.91097,1,0.83755,0.00033583,0.00033583,0.00033583
109,1492.2,0.09581,0.91659,1,0.83522,0.000332296,0.000332296,0.000332296
110,1505.68,0.09808,0.90628,1,0.8447,0.000328761,0.000328761,0.000328761
111,1519.59,0.08446,0.91097,1,0.83506,0.000325227,0.000325227,0.000325227
112,1532.76,0.07616,0.90909,1,0.84299,0.000321693,0.000321693,0.000321693
113,1546.28,0.07506,0.91565,1,0.8318,0.000318158,0.000318158,0.000318158
114,1559.95,0.1046,0.91659,1,0.83351,0.000314624,0.000314624,0.000314624
115,1573.54,0.07263,0.91284,1,0.8398,0.00031109,0.00031109,0.00031109
116,1586.97,0.08174,0.90347,1,0.84183,0.000307555,0.000307555,0.000307555
117,1600.63,0.08286,0.90909,1,0.84204,0.000304021,0.000304021,0.000304021
118,1614.11,0.06936,0.9044,1,0.83805,0.000300487,0.000300487,0.000300487
119,1628.07,0.08124,0.90159,1,0.83946,0.000296953,0.000296953,0.000296953
120,1642.33,0.07125,0.91097,1,0.83941,0.000293418,0.000293418,0.000293418
121,1655.75,0.09372,0.90909,1,0.83753,0.000289884,0.000289884,0.000289884
122,1668.9,0.08015,0.91753,1,0.83654,0.00028635,0.00028635,0.00028635
123,1682.4,0.07796,0.91003,1,0.83414,0.000282815,0.000282815,0.000282815
124,1696.63,0.08663,0.91471,1,0.83677,0.000279281,0.000279281,0.000279281
125,1710.09,0.08581,0.89972,1,0.84106,0.000275747,0.000275747,0.000275747
126,1723.62,0.08137,0.91097,1,0.83624,0.000272212,0.000272212,0.000272212
127,1737.58,0.06506,0.91003,1,0.83595,0.000268678,0.000268678,0.000268678
128,1751.27,0.08088,0.90722,1,0.83847,0.000265144,0.000265144,0.000265144
129,1764.89,0.09579,0.91471,1,0.8317,0.00026161,0.00026161,0.00026161
130,1778.38,0.07272,0.91003,1,0.83719,0.000258075,0.000258075,0.000258075
131,1791.97,0.08723,0.90722,1,0.8427,0.000254541,0.000254541,0.000254541
132,1805.74,0.06805,0.91003,1,0.83862,0.000251007,0.000251007,0.000251007
133,1819.47,0.07447,0.91565,1,0.83324,0.000247472,0.000247472,0.000247472
134,1832.9,0.06645,0.91846,1,0.83051,0.000243938,0.000243938,0.000243938
135,1846.93,0.06532,0.92409,1,0.83105,0.000240404,0.000240404,0.000240404
136,1860.42,0.06087,0.91284,1,0.83334,0.000236869,0.000236869,0.000236869
137,1874.54,0.05829,0.90909,1,0.83628,0.000233335,0.000233335,0.000233335
138,1887.68,0.05767,0.91097,1,0.83699,0.000229801,0.000229801,0.000229801
139,1901.01,0.06355,0.90722,1,0.83519,0.000226267,0.000226267,0.000226267
140,1914.23,0.06606,0.91003,1,0.83238,0.000222732,0.000222732,0.000222732
141,1927.44,0.06801,0.91003,1,0.83811,0.000219198,0.000219198,0.000219198
142,1941.02,0.06427,0.91097,1,0.83699,0.000215664,0.000215664,0.000215664
143,1954.69,0.04891,0.90815,1,0.83977,0.000212129,0.000212129,0.000212129
144,1968.47,0.0623,0.91378,1,0.83657,0.000208595,0.000208595,0.000208595
145,1981.84,0.06808,0.9119,1,0.83694,0.000205061,0.000205061,0.000205061
146,1995.49,0.0589,0.91846,1,0.83262,0.000201527,0.000201527,0.000201527
147,2009.16,0.06027,0.9194,1,0.82619,0.000197992,0.000197992,0.000197992
148,2022.83,0.05318,0.92034,1,0.83195,0.000194458,0.000194458,0.000194458
149,2036.18,0.05162,0.92127,1,0.82937,0.000190924,0.000190924,0.000190924
150,2049.48,0.06393,0.92409,1,0.82545,0.000187389,0.000187389,0.000187389
151,2063.39,0.06302,0.92034,1,0.83001,0.000183855,0.000183855,0.000183855
152,2076.16,0.06064,0.92315,1,0.82577,0.000180321,0.000180321,0.000180321
